chembl_id,smiles,pchembl_value,pchembl_std,n_records
CHEMBL3880,C=CCOc1c(CNc2cccc(C(=O)O)c2)cccc1OC,5.62,0.0,1
CHEMBL3880,C=CCc1ccc(OCc2ccc(C(=O)OC)o2)c(OC)c1,5.15,0.0,1
CHEMBL3880,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(CCCNC(=O)CCC(=O)Nc5ccc6c(c5)CCN6C(=O)c5cc(C(C)C)c(O)cc5O)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,7.73,0.0,1
CHEMBL3880,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(CCCNC(=O)c5noc(-c6cc(C(C)C)c(O)cc6O)c5-c5ccc(CN6CCOCC6)cc5)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,7.86,0.0,1
CHEMBL3880,C=CCn1c(NS(=O)(=O)c2ccccc2)c(S(=O)(=O)c2ccc(C)cc2)c2nc3ccccc3nc21,5.79,0.0,1
CHEMBL3880,C=Cc1cc(C(N)=O)ccc1-n1nc(C(C)C)c2c(-n3cnc(-c4cnn(C)c4)c3)ccnc21,6.66,0.0,1
CHEMBL3880,C=Cc1cc2c(cc1Sc1nc3c(N)nccc3n1CCNCC(C)(C)C)OCO2,6.26,0.0,1
CHEMBL3880,C=Cc1cn(-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)c2nccc(-c3cnc4ccccc4c3)c12,6.82,0.0,1
CHEMBL3880,CC(=O)CSc1ccc(-c2nc3ccccc3[nH]2)cn1,5.09,0.0,1
CHEMBL3880,CC(=O)CSc1nnc(-c2ccc3c(c2)OCO3)o1,5.03,0.0,1
CHEMBL3880,CC(=O)N(c1cc(-n2nc(C(C)C)c3c(-c4cnc5ccccc5c4)ccnc32)ccc1C(N)=O)C1CCNCC1,6.75,0.0,1
CHEMBL3880,CC(=O)N1CCCc2c(C)c3c(n2-c2ccc(C(N)=O)c(c2)N[C@@H](C)[C@@H]1C)CC(C)(C)CC3=O,7.07,0.0,1
CHEMBL3880,CC(=O)N1CCN(C(=O)c2cc(Cl)c(O)cc2O)CC1,5.49,0.0,1
CHEMBL3880,CC(=O)N1CCN(c2ncc3c(n2)CCN(C(=O)c2cc(C(C)C)c(O)cc2O)C3)CC1,6.57,0.0,1
CHEMBL3880,CC(=O)N1CCN2CCCc3c(C)c4c(n3-c3ccc(C(N)=O)c(c3)NC[C@H]2C1)CC(C)(C)CC4=O,6.97,0.0,1
CHEMBL3880,CC(=O)N1CCc2c(C)c3c(n2-c2ccc(C(N)=O)c(c2)N[C@@H](C)CC1)CC(C)(C)CC3=O,6.96,0.0,1
CHEMBL3880,CC(=O)N1CCc2c(C)c3c(n2-c2ccc(C(N)=O)c(c2)N[C@@H](C)[C@H](C)C1)CC(C)(C)CC3=O,7.24,0.0,1
CHEMBL3880,CC(=O)NCCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(=O)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(=O)NCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(=O)NCc1ccc2c(c1)[nH]c(=O)n2-c1cc(Cl)c(O)cc1O,6.005000000000001,1.9728279195104679,2
CHEMBL3880,CC(=O)NS(=O)(=O)c1ccc(NC(=O)C[n+]2cccc(C(N)=O)c2)cc1,4.9,0.0,1
CHEMBL3880,CC(=O)NS(=O)(=O)c1ccc(NC(=O)C[n+]2ccccc2)cc1,4.9,0.0,1
CHEMBL3880,CC(=O)N[C@H]1CC[C@H](Nc2cc(-n3cc(C)c4c(-c5cnc6ccccc6c5)ccnc43)ccc2C(N)=O)CC1,6.21,0.0,1
CHEMBL3880,CC(=O)N[C@H]1C[C@@H]2CNc3cc(ccc3C(N)=O)-n3c(c(C)c4c3CC(C)(C)CC4=O)CCCN2C1,6.2,0.0,1
CHEMBL3880,CC(=O)Nc1ccc(NC2=C/C(=N/S(=O)(=O)c3cccs3)c3ccccc3C2=O)cc1,5.79,0.0,1
CHEMBL3880,CC(=O)Nc1ccc(OS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,5.43,0.0,1
CHEMBL3880,CC(=O)Nc1ccccc1OCC(=O)c1cc(C)n(Cc2cccs2)c1C,6.97,0.0,1
CHEMBL3880,CC(=O)Nc1cncc(-c2cccc3c(-c4ccc(C(N)=O)c(NC5CCC(O)CC5)c4)nccc23)c1,6.82,0.0,1
CHEMBL3880,CC(=O)Oc1ccc(Nc2ccccc2)cc1,5.18,0.0,1
CHEMBL3880,CC(=O)Oc1cccc2c1C(=O)C1=CC3CC4C(C)(C)OC(CC=C(C)C)(C3=O)C14O2,4.37,0.0,1
CHEMBL3880,CC(=O)Oc1cccc2c1C(=O)C1=CC3CC4COC(CC=C(C)C)(C3=O)C14O2,4.28,0.0,1
CHEMBL3880,CC(=O)Oc1ccccc1/C=C/c1nc2ccccc2c(=O)o1,5.28,0.0,1
CHEMBL3880,CC(=O)c1ccc(N=Nc2c(C)[nH]n(-c3ccccc3)c2=O)cc1,5.36,0.0,1
CHEMBL3880,CC(C)(C)CNCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(C)(C)CNCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)nccc21,6.26,0.0,1
CHEMBL3880,CC(C)(C)CNCCn1c(Sc2cc3c(cc2C#N)OCO3)nc2c(N)nccc21,6.26,0.0,1
